generation,leftchild,rightchild,abstime,betainit,betashift
1,Galago_matschiei,Tarsius_dianae,0,0.5,0
100001,Galago_matschiei,Tarsius_dianae,0,0.0199522,-0.00399768
100001,Galago_matschiei,Daubentonia_madagascariensis,2.3466,0.336968,-0.025134
100001,Callithrix_pygmaea,NA,62.5485,0.320624,-0.0641997
100001,Macaca_sylvanus,Macaca_tonkeana,57.2522,0.305539,-0.0537666
100001,Miopithecus_talapoin,NA,58.6641,0.546703,-0.241187
200001,Galago_matschiei,Tarsius_dianae,0,0.0368548,-0.0107937
200001,Galago_matschiei,Daubentonia_madagascariensis,10.4866,0.292933,-0.0345706
200001,Macaca_tonkeana,Macaca_arctoides,58.2903,0.350566,-0.148407
300001,Galago_matschiei,Tarsius_dianae,0,0.0291191,-0.0108337
300001,Arctocebus_aureus,NA,64.848,0.0443172,-0.0948993
300001,Galago_matschiei,Daubentonia_madagascariensis,0.165714,0.18697,-0.0254015
300001,Callithrix_pygmaea,NA,62.4158,1.63426,-0.328833
300001,Lophocebus_albigena,Theropithecus_gelada,58.8211,0.673578,-0.0328855
300001,Macaca_sylvanus,Macaca_tonkeana,57.018,0.1428,-0.0526237
400001,Galago_matschiei,Tarsius_dianae,0,0.0403728,-0.012176
400001,Galago_matschiei,Daubentonia_madagascariensis,5.97878,0.154107,-0.0145834
400001,Mandrillus_sphinx,Macaca_sylvanus,55.8271,0.177049,-0.083546
500001,Galago_matschiei,Tarsius_dianae,0,0.0411725,-0.012176
500001,Galago_matschiei,Daubentonia_madagascariensis,1.19667,0.421108,-0.0338816
500001,Macaca_sylvanus,Macaca_tonkeana,56.6634,0.116722,-0.0361503
600001,Galago_matschiei,Tarsius_dianae,0,0.0542113,-0.019152
600001,Galago_matschiei,Daubentonia_madagascariensis,11.709,0.871684,-0.0490079
600001,Mandrillus_sphinx,Macaca_sylvanus,55.1756,0.127114,-0.0827328
700001,Galago_matschiei,Tarsius_dianae,0,0.0547992,-0.019152
700001,Galago_matschiei,Daubentonia_madagascariensis,10.0525,0.629271,-0.0506156
700001,Macaca_sylvanus,Macaca_tonkeana,57.2426,0.52355,-0.273388
800001,Galago_matschiei,Tarsius_dianae,0,0.0476495,-0.0163492
800001,Galago_matschiei,Daubentonia_madagascariensis,0.223158,0.307459,-0.0117619
800001,Galago_matschiei,Daubentonia_madagascariensis,1.95253,0.363807,-0.03514
800001,Mandrillus_sphinx,Macaca_sylvanus,53.9959,0.274223,-0.11285
900001,Galago_matschiei,Tarsius_dianae,0,0.0601196,-0.0178165
900001,Galago_matschiei,Daubentonia_madagascariensis,1.85566,0.161905,-0.0207779
900001,Galago_matschiei,Daubentonia_madagascariensis,11.7437,0.327252,-0.0316307
900001,Macaca_sylvanus,Macaca_tonkeana,56.6281,0.527654,-0.139283
1000001,Galago_matschiei,Tarsius_dianae,0,0.0493767,-0.016708
1000001,Galago_matschiei,Daubentonia_madagascariensis,3.16708,0.198067,-0.0159512
1000001,Mandrillus_sphinx,Macaca_sylvanus,54.2918,0.2445,-0.100883
1100001,Galago_matschiei,Tarsius_dianae,0,0.0765551,-0.0237719
1100001,Galago_matschiei,Daubentonia_madagascariensis,3.3542,0.236622,-0.0257603
1100001,Mandrillus_sphinx,Macaca_sylvanus,55.6876,0.23054,-0.145046
