generation,N_shifts,logPrior,logLik,eventRate,acceptRate
15001,2,-6.26512,-261.011,2.42749,0.4492
35001,1,-4.13031,-264.393,1.16853,0.4692
55001,1,-5.6227,-265.356,1.75754,0.5118
75001,2,-6.60109,-259.8,1.339,0.4766
95001,1,-2.51544,-264.252,0.41476,0.476
115001,2,-6.9966,-266.207,1.90142,0.5432
135001,1,-2.38772,-263.454,0.277542,0.4946
155001,3,-7.62821,-263.224,2.42594,0.4852
175001,1,-6.71167,-267.516,2.63927,0.4668
195001,1,-2.35902,-262.849,0.074499,0.4674
215001,2,-4.46753,-266.619,0.83124,0.488
235001,1,-2.44361,-265.26,0.0473823,0.4534
255001,2,-4.38665,-268.614,0.424948,0.4836
275001,1,-2.95979,-264.189,0.480662,0.4754
295001,1,-4.72006,-266.991,1.7622,0.5056
315001,2,-5.99212,-262.195,1.48664,0.4992
335001,1,-2.19828,-269.165,0.0224132,0.4896
355001,2,-4.28528,-261.306,0.122186,0.5322
375001,1,-7.70143,-264.27,3.83844,0.4562
395001,1,-7.56828,-262.308,5.61386,0.4796
415001,2,-7.05112,-264.273,2.9552,0.4992
435001,1,-3.65855,-264.782,1.74009,0.4784
455001,2,-3.60812,-260.044,0.1521,0.4988
475001,2,-6.14056,-266.698,0.0953404,0.5
495001,2,-5.88529,-267.854,0.803163,0.4992
515001,2,-5.39506,-258.93,0.713305,0.4844
535001,2,-8.16909,-261.14,1.61556,0.5454
555001,1,-2.54268,-267.262,0.635366,0.4938
575001,1,-4.34574,-265.276,1.50099,0.4882
595001,2,-4.13684,-258.376,0.774346,0.4988
615001,1,-2.83393,-266.055,0.0803101,0.497
635001,1,-2.96896,-263.853,0.475941,0.4818
655001,2,-5.07183,-267.829,1.29066,0.471
675001,1,-3.07603,-267.54,0.818797,0.4922
695001,2,-4.14122,-266.879,0.477796,0.4832
715001,1,-3.32946,-264.259,0.707176,0.4684
735001,3,-5.21226,-260.274,0.930117,0.5122
755001,1,-2.05128,-265.663,0.220564,0.4958
775001,2,-5.69789,-266.918,0.902865,0.4854
795001,2,-5.75208,-268.166,0.58557,0.5218
815001,1,-1.93346,-269.013,0.180785,0.4634
835001,1,-3.21755,-264.206,0.496442,0.4852
855001,1,-2.28471,-265.704,0.620934,0.4762
875001,2,-5.94529,-264.363,0.443644,0.469
895001,2,-5.85052,-256.575,0.556091,0.5028
915001,1,-3.18633,-264.069,1.33073,0.4872
935001,1,-1.72235,-267.211,0.121909,0.4522
955001,1,-3.32222,-266.604,1.77114,0.468
975001,2,-3.97188,-265.663,0.689231,0.436
995001,2,-6.71703,-267.271,2.23042,0.4826
1015001,2,-9.15446,-265.027,1.50691,0.471
1035001,3,-6.48166,-263.724,0.257744,0.4596
1055001,3,-13.0282,-262.597,3.87631,0.4654
1075001,2,-2.12383,-269.671,0.0865856,0.4702
1095001,1,-5.94807,-262.975,3.11437,0.4546
1115001,1,-2.4003,-264.548,0.151861,0.4866
1135001,2,-7.0624,-260.871,1.15099,0.4934
1155001,2,-4.99771,-265.467,1.14372,0.486
1175001,1,-3.48925,-270.035,0.91807,0.495
1195001,3,-8.37828,-271.884,1.52894,0.4738
1215001,1,-3.07863,-264.144,0.618969,0.4584
1235001,1,-4.36859,-268.617,1.11256,0.4504
1255001,2,-2.8956,-261.715,0.36282,0.5058
