generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-0.227925,-472.295,1,0
10001,1,-1.44051,-72.5071,2.10145,0.3207
20001,3,-0.515307,-44.2436,0.577519,0.30415
30001,0,-1.43741,-52.5051,2.66441,0.2899
40001,1,1.00679,-17.1784,0.536179,0.28165
50001,2,-1.67286,-23.8754,4.27056,0.2472
60001,1,1.25622,-31.4049,0.747235,0.25675
70001,3,2.37037,-30.7285,1.16815,0.2855
80001,4,3.84925,-20.3153,0.783678,0.28555
90001,3,-0.0811437,1.67818,1.61227,0.2768
100001,4,3.2086,1.17755,0.963671,0.2749
110001,2,3.07136,8.77254,0.356851,0.2693
120001,2,1.9696,1.39718,1.24683,0.26555
130001,3,2.9369,9.4142,0.424564,0.2707
140001,4,3.48832,17.0581,0.488863,0.2679
150001,3,2.66902,19.8664,1.00099,0.2614
160001,4,2.07004,18.7208,0.824693,0.26335
170001,4,4.13451,11.7466,0.221426,0.2702
180001,2,2.33401,-0.0963221,0.996628,0.27375
190001,2,1.61711,-28.433,1.41063,0.2684
200001,2,2.26928,-6.70171,0.633231,0.26975
210001,2,3.0864,-10.1959,0.169959,0.2691
220001,2,2.84039,-22.5837,0.0655706,0.2795
230001,2,2.8069,-0.794346,0.29207,0.266
240001,3,-0.641075,-9.04738,2.10544,0.2693
250001,3,1.56271,-3.9178,0.762767,0.2753
260001,4,2.99693,-6.17896,0.594536,0.27455
270001,2,3.2205,-1.88105,0.128492,0.2695
280001,2,2.39833,-8.72673,0.09594,0.26995
290001,2,-0.616695,-20.342,3.91202,0.2742
300001,5,2.68682,6.4171,1.01707,0.2745
310001,5,2.87324,22.5839,0.163608,0.2804
320001,2,1.95517,-17.8037,0.607239,0.2711
330001,2,3.18645,2.59471,0.20304,0.2741
340001,2,2.99853,-15.5737,0.365223,0.27595
350001,3,2.21996,-14.8921,0.053575,0.2638
360001,2,3.04712,-18.1493,0.161227,0.2743
370001,2,2.83329,-10.2237,0.479346,0.272
380001,2,2.94317,17.7927,0.55476,0.2664
390001,2,2.98399,15.5759,0.497655,0.2679
400001,2,1.35554,-6.82456,2.01575,0.27065
410001,2,3.17081,11.9323,0.0943326,0.2658
420001,2,2.94396,-15.163,0.0683507,0.2701
430001,4,-0.139471,-6.65071,6.05132,0.2794
440001,3,-0.579582,17.3714,4.61616,0.27465
450001,3,0.205989,0.730212,1.07177,0.274
460001,3,3.60206,16.8632,0.704273,0.2723
470001,2,2.59797,-14.4005,0.575342,0.2823
480001,3,3.66214,6.71833,0.24791,0.2774
490001,2,2.71921,9.14824,0.437759,0.271
500001,2,-1.27535,-5.01625,4.48654,0.2721
510001,2,0.304042,13.6273,2.27536,0.2752
520001,4,-0.319121,-1.832,1.20459,0.2744
530001,5,0.209664,14.3709,2.6731,0.2701
540001,4,3.20836,-38.0594,0.929876,0.27805
550001,2,1.8927,-33.0995,0.912487,0.2804
560001,2,1.25936,-14.2653,1.19299,0.2812
570001,2,2.52151,-7.86277,0.222503,0.2752
580001,2,2.37786,-2.89411,0.27615,0.27665
590001,2,2.58627,8.14764,0.375685,0.2803
600001,2,1.30388,-22.8953,1.3632,0.2808
610001,4,2.12959,-20.4382,0.416532,0.292
