generation,N_shifts,eventRate
1,1,0.599193
10001,0,0.00771798
20001,0,0.762441
30001,1,0.614495
40001,0,1.53448
50001,2,1.3374
60001,1,1.00967
70001,1,0.498192
80001,2,2.77011
90001,3,0.36958
100001,0,0.786501
110001,0,1.14776
120001,1,2.42114
130001,1,0.780775
140001,0,2.57723
150001,0,0.516129
160001,0,1.92518
170001,2,0.723207
180001,2,0.286992
190001,1,0.685839
200001,0,0.982606
210001,0,1.37216
220001,0,1.27296
230001,3,0.298589
240001,3,3.21171
250001,1,1.92022
260001,1,0.76213
270001,1,0.461186
280001,0,0.184432
290001,1,2.45096
300001,0,0.145124
310001,0,0.826141
320001,2,0.931361
330001,1,0.818502
340001,3,2.28229
350001,1,1.06993
360001,0,0.774966
370001,0,1.51453
380001,1,0.156957
390001,0,0.581982
400001,1,3.12691
410001,2,4.27872
420001,1,0.507916
430001,0,0.101334
440001,0,0.034343
450001,0,0.213365
460001,0,0.139154
470001,0,0.303404
480001,3,2.28527
490001,0,0.0687034
500001,0,0.840651
510001,0,0.297093
520001,1,0.158771
530001,0,0.126387
540001,0,1.50641
550001,0,0.475597
560001,1,0.488114
570001,0,0.67814
580001,1,3.37604
590001,1,2.63899
600001,1,1.79522
610001,0,0.0145933
620001,2,0.913722
630001,1,1.04384
640001,1,0.504621
650001,0,0.0765303
660001,2,2.37005
670001,2,1.31017
680001,0,0.285291
690001,2,0.893736
700001,0,0.622972
710001,1,1.34241
720001,3,0.858843
730001,3,3.35326
740001,1,0.933609
750001,4,4.11212
760001,0,0.0222005
770001,1,1.462
780001,0,1.51996
790001,1,1.55493
800001,0,1.91425
810001,1,0.346238
820001,1,0.0104918
830001,1,2.53673
840001,1,0.0963085
850001,0,0.0773062
860001,0,0.111331
870001,0,0.464967
880001,0,0.504471
890001,1,1.67084
900001,1,0.632592
910001,0,2.19429
920001,0,0.360545
930001,0,0.63253
940001,2,2.37257
950001,0,0.803043
960001,1,0.163314
970001,0,0.0384408
980001,0,0.097378
990001,0,0.683799
1000001,1,1.31242
1010001,0,0.206524
1020001,0,1.64097
1030001,1,1.1928
1040001,2,0.630111
1050001,2,2.00992
1060001,0,1.15988
1070001,0,0.000284247
1080001,0,0.514086
1090001,1,0.492615
1100001,0,1.03714
1110001,4,1.02562
1120001,2,0.871361
1130001,1,0.513102
1140001,0,0.0804568
1150001,0,0.042537
1160001,1,0.694487
1170001,0,0.418288
1180001,0,0.0241486
1190001,0,0.182779
1200001,0,0.305862
1210001,2,1.99679
1220001,2,2.26896
1230001,1,0.571406
1240001,1,2.80076
1250001,2,2.68916
1260001,5,4.07016
1270001,0,0.119347
1280001,1,0.256379
1290001,0,0.465991
1300001,0,0.974038
1310001,1,0.377089
1320001,1,0.318732
1330001,2,1.02757
1340001,0,0.45272
1350001,3,2.22618
1360001,0,0.819031
1370001,0,0.311982
1380001,0,0.190207
1390001,0,0.0378475
1400001,0,0.473289
1410001,2,2.88325
1420001,0,0.0769322
1430001,0,0.755841
1440001,2,1.6259
1450001,1,0.807355
1460001,1,1.31239
1470001,2,1.39494
1480001,1,0.23984
1490001,1,0.213365
1500001,0,0.0708639
