generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,Balaena_mysticetus,Physeter_catodon,0,0.032,0,0.005,0
5001,Balaena_mysticetus,Physeter_catodon,0,0.344776,-0.0302899,0.1117,0
10001,Balaena_mysticetus,Physeter_catodon,0,0.374884,-0.0552675,0.0454137,0
10001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.2816,0.895754,-0.214131,0.0917739,0
15001,Balaena_mysticetus,Physeter_catodon,0,0.132167,-0.0220205,0.011056,0
15001,Physeter_catodon,NA,24.8336,0.205319,-0.0461161,0.707851,0
15001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.8698,1.1533,-0.189728,0.221817,0
20001,Balaena_mysticetus,Physeter_catodon,0,0.213354,-0.0355642,0.0466782,0
20001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.2368,0.324937,-0.0956225,0.0118086,0
25001,Balaena_mysticetus,Physeter_catodon,0,0.127721,-0.0240866,0.00138451,0
25001,Balaenoptera_acutorostrata,NA,35.148,0.352384,-0.0488097,3.88686,0
25001,Orcinus_orca,Orcaella_brevirostris,23.0881,0.567399,-0.10908,0.0465093,0
30001,Balaena_mysticetus,Physeter_catodon,0,0.181982,-0.0297421,0.00795755,0
30001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.18,0.488672,-0.135409,0.0168523,0
35001,Balaena_mysticetus,Physeter_catodon,0,0.195955,-0.0288973,0.0541625,0
35001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.793,1.28015,-0.248765,0.124309,0
40001,Balaena_mysticetus,Physeter_catodon,0,0.163216,-0.027155,0.0310168,0
40001,Orcinus_orca,Orcaella_brevirostris,22.3378,1.06873,-0.104283,0.241333,0
45001,Balaena_mysticetus,Physeter_catodon,0,0.200996,-0.0373337,0.0328504,0
45001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.5143,1.07506,-0.184199,0.117845,0
50001,Balaena_mysticetus,Physeter_catodon,0,0.107124,-0.0113877,0.0162692,0
50001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.577,0.181473,-0.0360216,0.00313364,0
55001,Balaena_mysticetus,Physeter_catodon,0,0.284183,-0.0380691,0.0495085,0
55001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.3822,1.90857,-0.226044,0.417425,0
60001,Balaena_mysticetus,Physeter_catodon,0,0.245447,-0.0357525,0.0294616,0
60001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.5758,1.60567,-0.19379,0.315559,0
65001,Balaena_mysticetus,Physeter_catodon,0,0.253345,-0.0526721,0.00853894,0
65001,Kogia_breviceps,NA,27.2429,0.150463,-0.00428678,0.120008,0
65001,Delphinapterus_leucas,Orcinus_orca,16.1983,0.335546,-0.0273881,0.0771481,0
70001,Balaena_mysticetus,Physeter_catodon,0,0.50541,-0.0528373,0.0816583,0
70001,Lagenorhynchus_australis,NA,35.0573,0.596594,0.0265326,0.0590345,0
70001,Orcinus_orca,Orcaella_brevirostris,18.4183,0.735006,-0.0976351,0.0413517,0
75001,Balaena_mysticetus,Physeter_catodon,0,0.184226,-0.0246136,0.0164419,0
75001,Mesoplodon_hectori,Mesoplodon_densirostris,28.6897,0.739414,-0.418126,0.114232,0
75001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.1453,0.873798,-0.232527,0.0189067,0
80001,Balaena_mysticetus,Physeter_catodon,0,0.35554,-0.0382322,0.123676,0
80001,Orcinus_orca,Orcaella_brevirostris,24.2956,1.24185,-0.181131,0.113215,0
85001,Balaena_mysticetus,Physeter_catodon,0,0.258737,-0.0302701,0.0397207,0
85001,Phocoena_sinus,NA,32.7675,0.759532,-0.00267731,0.316277,0
85001,Orcinus_orca,Orcaella_brevirostris,19.4188,0.549856,-0.0834134,0.143347,0
90001,Balaena_mysticetus,Physeter_catodon,0,0.291011,-0.0579849,0.0398672,0
90001,Steno_bredanensis,NA,31.2786,0.0409949,0.15807,0.291328,0
90001,Orcinus_orca,Orcaella_brevirostris,23.0634,0.757185,-0.116755,0.113636,0
95001,Balaena_mysticetus,Physeter_catodon,0,0.315823,-0.0456582,0.0605636,0
95001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.2424,0.693252,-0.175241,0.0230739,0
