generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-1.37701,-320.928,1,0
5001,0,-1.68568,-280.511,0.88002,0.4006
10001,1,-3.467,-264.417,0.890088,0.5042
15001,2,-6.26512,-261.011,2.42749,0.4492
20001,1,-2.12155,-265.284,0.740671,0.4582
25001,2,-6.36568,-266.009,0.214784,0.5168
30001,1,-1.76847,-262.884,0.200779,0.486
35001,1,-4.13031,-264.393,1.16853,0.4692
40001,1,-2.67714,-268.118,0.3767,0.5118
45001,1,-3.04585,-263.894,0.585843,0.463
50001,1,-1.33015,-268.99,0.327855,0.4868
55001,1,-5.6227,-265.356,1.75754,0.5118
60001,1,-6.885,-265.153,3.62051,0.4356
65001,2,-2.13154,-269.182,0.131033,0.511
70001,2,-5.32703,-271.816,2.15766,0.521
75001,2,-6.60109,-259.8,1.339,0.4766
80001,1,-3.62161,-267.423,0.764608,0.4868
85001,2,-5.19639,-275.079,2.03007,0.5134
90001,2,-3.25821,-268.884,0.284354,0.4834
95001,1,-2.51544,-264.252,0.41476,0.476
100001,1,-3.17133,-264.172,0.388379,0.4692
105001,1,-5.04361,-270.879,2.73258,0.442
110001,1,-2.8567,-268.164,0.174188,0.433
115001,2,-6.9966,-266.207,1.90142,0.5432
120001,1,-6.26846,-267.168,2.55846,0.4558
125001,1,-2.66978,-264.563,0.487456,0.4508
130001,1,-2.73154,-266.401,0.664982,0.5226
135001,1,-2.38772,-263.454,0.277542,0.4946
140001,1,-2.43478,-263.928,0.370962,0.4848
145001,1,-2.17179,-267.305,0.405824,0.47
150001,2,-5.05335,-264.049,1.93171,0.4628
155001,3,-7.62821,-263.224,2.42594,0.4852
160001,1,-2.58065,-264.252,0.30793,0.5216
165001,2,-7.8276,-262.323,2.40642,0.4608
170001,1,-2.618,-266.794,0.0764379,0.5212
175001,1,-6.71167,-267.516,2.63927,0.4668
180001,3,-4.49111,-265.674,0.107979,0.4604
185001,1,-5.42288,-265.548,2.66809,0.4572
190001,1,-4.3367,-265.05,2.46175,0.5134
195001,1,-2.35902,-262.849,0.074499,0.4674
200001,1,-2.60537,-266.661,0.385656,0.4374
205001,2,-8.90281,-262.914,0.340169,0.499
210001,2,-5.11166,-261.749,0.884097,0.498
215001,2,-4.46753,-266.619,0.83124,0.488
220001,2,-6.2335,-263.706,0.741019,0.441
225001,1,-3.93914,-264.508,1.1023,0.4674
230001,1,-1.95196,-263.25,0.0621261,0.4834
235001,1,-2.44361,-265.26,0.0473823,0.4534
240001,2,-4.08568,-265.259,0.0489584,0.4718
245001,2,-3.39605,-267.482,0.139845,0.474
250001,1,-3.60339,-264.756,1.34273,0.438
255001,2,-4.38665,-268.614,0.424948,0.4836
260001,1,-3.28641,-268.069,0.623478,0.4906
265001,1,-5.42387,-266.016,3.57337,0.4724
270001,1,-2.35985,-267.118,0.401471,0.4582
275001,1,-2.95979,-264.189,0.480662,0.4754
280001,1,-2.7541,-267.843,0.333008,0.4748
285001,1,-1.95869,-264.794,0.0525204,0.4478
290001,1,-2.50288,-265.838,0.460925,0.5004
295001,1,-4.72006,-266.991,1.7622,0.5056
300001,1,-1.18178,-267.684,0.0259288,0.4796
305001,1,-2.87377,-263.115,1.10279,0.4792
310001,1,-3.01694,-268.638,0.831186,0.4626
315001,2,-5.99212,-262.195,1.48664,0.4992
320001,1,-7.67902,-265.245,5.7321,0.4836
325001,2,-4.82498,-266.815,1.16222,0.4584
