generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-1.37736,0,1,1
5001,2,-9.99164,0,0.742869,0.7574
10001,3,-16.0931,0,0.0158916,0.761
15001,0,-6.38445,0,2.1728,0.7624
20001,1,-5.77259,0,1.88824,0.7338
25001,0,-2.8334,0,0.819359,0.7032
30001,2,-5.96189,0,0.159227,0.7404
35001,0,-4.09071,0,0.563456,0.6984
40001,0,-1.58503,0,0.543971,0.7284
45001,1,-11.2344,0,3.17861,0.7432
50001,0,-2.44232,0,0.980946,0.7576
55001,0,-3.60197,0,0.430114,0.7478
60001,0,-3.67851,0,1.29411,0.7644
65001,1,-5.51557,0,2.19438,0.7692
70001,0,-6.27401,0,3.5544,0.7546
75001,1,-6.62281,0,2.09066,0.7498
80001,1,-2.38516,0,0.118771,0.7472
85001,1,-10.7112,0,1.38563,0.7318
90001,3,-16.648,0,0.616456,0.7522
95001,0,-6.13343,0,1.94439,0.7482
100001,1,-14.3386,0,0.411171,0.7814
105001,1,-7.16264,0,1.06477,0.747
110001,0,-3.23377,0,1.86938,0.7418
115001,0,-2.48368,0,0.676306,0.7264
120001,1,-6.46247,0,0.31509,0.7632
125001,0,-3.6597,0,0.305747,0.76
130001,0,-5.94556,0,2.00954,0.732
135001,1,-6.23944,0,1.22654,0.7472
140001,0,-2.99163,0,0.520794,0.7124
145001,3,-8.96588,0,0.452367,0.7502
150001,0,-2.80326,0,0.462381,0.7224
155001,1,-4.35425,0,0.37849,0.7834
160001,2,-6.77894,0,1.88683,0.787
165001,0,-2.4942,0,0.807133,0.7544
170001,1,-7.84249,0,1.97784,0.7476
175001,0,-3.02289,0,0.186782,0.7276
180001,1,-7.784,0,0.11221,0.7496
185001,2,-11.6783,0,1.61972,0.7558
190001,0,-4.57604,0,2.06772,0.7526
195001,2,-10.8145,0,0.310321,0.711
200001,1,-6.53651,0,0.572706,0.7736
205001,0,-9.6157,0,1.32897,0.7474
210001,2,-7.26666,0,0.198428,0.758
215001,2,-6.12173,0,1.09243,0.7298
220001,4,-11.8849,0,1.06961,0.7332
225001,1,-10.0214,0,1.37892,0.7606
230001,2,-6.2574,0,0.594093,0.7588
235001,0,-5.87158,0,0.307328,0.7476
240001,0,-2.11344,0,0.447093,0.778
245001,1,-6.87487,0,0.333026,0.7556
250001,0,-4.46909,0,1.52199,0.7752
255001,1,-7.40779,0,2.27147,0.7704
260001,3,-8.61711,0,0.117684,0.7458
265001,1,-7.0103,0,0.381803,0.78
270001,0,-6.91373,0,1.52838,0.7588
275001,0,-4.03756,0,0.360784,0.743
280001,0,-4.72297,0,2.04806,0.753
285001,0,-6.98402,0,2.11307,0.7336
290001,0,-2.60538,0,0.0531608,0.7154
295001,0,-2.80005,0,0.193779,0.7504
300001,2,-7.21531,0,0.43961,0.7532
305001,1,-5.74289,0,2.36666,0.7374
310001,2,-7.69379,0,0.085949,0.7292
315001,2,-8.62259,0,1.97425,0.8048
320001,1,-8.05554,0,2.08485,0.7334
325001,3,-10.5545,0,0.407302,0.7486
330001,1,-7.69625,0,0.114687,0.7428
335001,1,-5.21173,0,1.0622,0.7592
340001,0,-2.70146,0,0.519567,0.7336
345001,1,-2.20045,0,0.45268,0.747
