species,AVG SVL,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG humerus,AVG radius,AVG lfing IV,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
ahli,4.039125443,2.741377514,2.686031787,2.254619589,2.553343811,2.460727794,2.268511113,1.943287666,3.279599507,2.866196912,3.939014626,4.406651696
alayoni,3.815704818,2.065120737,2.016401897,1.535253014,1.875257738,1.947872508,1.687093157,1.40302856,3.432372109,3.075269258,3.743863026,4.002787513
alfaroi,3.526654599,2.172476408,2.094945728,1.547562509,1.73254011,1.628259667,1.401182974,1.040276712,3.198016089,2.73386561,3.478775516,4.369447852
aliniger,4.036556538,2.475445366,2.344014903,1.867176109,2.256541154,2.298878231,2.091864062,1.702199393,3.582875089,3.156774023,3.933181119,4.441202883
allisoni,4.375390078,2.795144908,2.687734109,2.178155015,2.533696814,2.618550883,2.341565393,1.983412353,3.72118493,3.239211238,4.355581955,5.039850982
allogus,4.040138442,2.739174801,2.684476261,2.217313828,2.494900405,2.459993618,2.267176054,1.919010215,3.335989787,2.808270254,4.028862591,4.510920482
altitudinalis,3.842994419,2.109000344,2.002493,1.469025759,1.786746927,2.05508481,1.830178579,1.349371007,3.511434043,3.198464828,3.868386196,4.192315436
alumina,3.588940722,2.230628651,2.18283584,1.743219274,1.991390664,1.772770796,1.568020503,1.179972809,3.364412814,2.694251627,3.589351958,4.667159932
alutaceus,3.554890814,2.151529618,2.118061113,1.643259461,1.86392508,1.690833551,1.511825084,1.133335725,3.331200762,2.782454845,3.549917043,4.549889689
angusticeps,3.788595498,2.043536753,1.954748526,1.498346722,1.813660733,1.902320723,1.669457309,1.270161748,3.315644331,2.865023888,3.792448185,4.175975338
argenteolus,3.971307363,2.677273735,2.601378285,2.160489661,2.365054167,2.366570577,2.259436677,1.763148935,3.713453055,3.250252395,3.944506029,4.728968922
argillaceus,3.757868992,2.143354867,2.048079865,1.594730284,2.002830439,2.015969119,1.844668125,1.467413412,3.47131568,3.023184036,3.723950173,4.337493337
armouri,4.121684075,2.786984603,2.698942182,2.269648593,2.580141069,2.476454363,2.340169853,1.938597764,3.438051436,2.866890154,4.02367504,4.618763864
bahorucoensis,3.827445029,2.475949992,2.433788779,2.005929546,2.261033666,2.00794554,1.856766631,1.538800833,3.452632791,2.808963495,3.815790504,4.752015918
baleatus,5.05305601,3.547387892,3.451969707,2.980110893,3.333632062,3.393920973,3.160663915,2.79766236,3.903528434,3.445879418,5.002786027,5.657434018
baracoae,5.042779747,3.549962155,3.43023825,2.966560896,3.320276511,3.342048753,3.11471459,2.757792293,4.18795976,3.69050587,5.005124217,5.747959186
barahonae,5.076957937,3.586490709,3.484750404,3.008154794,3.350305009,3.374168709,3.16836418,2.842248038,3.903621666,3.439502741,5.003353166,5.624030319
barbatus,5.003946306,3.369477357,3.176385773,2.729159164,3.142282716,3.323956301,3.11632617,2.759798947,3.823694051,3.394096815,5.044437041,5.069899409
barbouri,3.663931948,2.346920907,2.138234422,1.675225653,2.012084237,1.964467058,1.749972503,1.443252138,2.930842314,2.413637788,3.642072928,4.532167598
bartschi,4.280547466,3.047548159,2.945012977,2.408990517,2.655735652,2.668174728,2.54124402,2.110103001,3.727798175,3.288014264,4.245486772,5.034223639
bremeri,4.113370744,2.66867392,2.604416589,2.170005628,2.543110042,2.427380521,2.231089091,1.891981807,3.472710624,2.970085626,4.119848796,4.736255056
breslini,4.051110808,2.751029866,2.716101039,2.219746815,2.478951453,2.415578901,2.354109611,1.851206928,3.373838187,2.746773314,4.032904561,4.81099317
brevirostris,3.874154977,2.515920703,2.431769551,1.87380018,2.186725207,2.317178095,2.162633133,1.720979287,3.420037072,3.031432628,3.853109086,4.3211417
caudalis,3.911742966,2.477882035,2.44182516,1.867794156,2.144761008,2.329032263,2.173614712,1.698547088,3.366597577,2.943329408,3.91017202,4.3610724
centralis,3.697941213,2.074429,1.989243274,1.518482941,1.878206962,1.959431764,1.717817396,1.330968178,3.247878501,2.878940075,3.653883981,4.342988776
chamaeleonides,5.04234927,3.413125953,3.167793035,2.710491663,3.148167197,3.300025612,3.094747702,2.791778417,3.796044161,3.519254236,5.048337821,5.037370704
chlorocyanus,4.275448057,2.737951606,2.632988531,2.144898758,2.538772612,2.527045424,2.253950799,1.976365995,3.733464342,3.325930515,4.26044853,4.956694725
christophei,3.884651809,2.520457634,2.448353803,1.994117053,2.387057535,2.343109901,2.162255132,1.867065703,3.531811861,2.984972989,3.85138282,4.493765131
clivicola,3.758726128,2.410878803,2.332750507,1.845102744,2.134905813,2.029627416,1.850224899,1.503521687,3.264207299,2.855383468,3.749688535,4.592595023
coelestinus,4.297965447,2.778141459,2.678278043,2.197628536,2.563339671,2.575730196,2.326567919,1.956760165,3.741829172,3.208536442,4.264098004,5.010381815
confusus,3.938442349,2.571411946,2.505059356,2.061968342,2.320144309,2.292390447,2.137373466,1.744717776,3.458995347,2.85607671,3.873583693,4.36063812
cooki,4.091535064,2.737609003,2.666649335,2.224803715,2.436241478,2.427306962,2.261242129,1.856818688,3.484198898,3.01479431,4.103699634,4.902075853
cristatellus,4.189820018,2.761504795,2.770256459,2.296658474,2.599384566,2.585505848,2.376088987,2.027071112,3.519205893,3.080457119,4.192626137,4.764912061
cupeyalensis,3.462013706,1.975931165,1.956331845,1.460937904,1.65653352,1.596014892,1.345472367,0.956365781,3.192988894,2.56376241,3.48145653,4.542221846
cuvieri,4.875011919,3.576790001,3.394172767,2.890927159,3.238062016,3.246602159,3.058707073,2.725422239,3.796835968,3.393241208,4.874786628,5.657846327
cyanopleurus,3.630161001,2.289499853,2.255959252,1.746490875,2.019485099,1.798404012,1.581952515,1.299585969,3.257229847,2.720067035,3.596633266,4.715661915
cybotes,4.210982161,2.879351663,2.820133523,2.346862927,2.650870397,2.642881178,2.44479463,2.035418406,3.463371279,2.910825623,4.186364819,4.833413805
darlingtoni,4.302036009,2.713369363,2.415913778,2.018895042,2.427454075,2.447550863,2.2782924,1.925707442,3.610917913,3.135494216,4.302036009,4.49980967
distichus,3.928795837,2.549445171,2.52801175,1.961100315,2.301298551,2.43022416,2.237665547,1.80194551,3.409004922,3.035568849,3.907890934,4.319202676
dolichocephalus,3.908550316,2.486571929,2.475978019,2.02331201,2.267475916,2.063481522,1.759580571,1.494027061,3.582996877,2.943514337,3.906738664,4.877271344
equestris,5.113993807,3.60631273,3.477232068,2.990635976,3.30953886,3.434820191,3.158205369,2.821031604,4.107408455,3.722621202,5.133421125,5.769012568
etheridgei,3.657990601,2.48532323,2.423622088,1.908059925,2.278975227,1.932245787,1.85159947,1.552514765,3.323595168,2.760437594,3.662193528,4.520638122
eugenegrahami,4.128504414,2.858766418,2.821676461,2.335052283,2.684781574,2.569171202,2.463853241,2.089391873,3.688629376,3.225731931,4.108192514,4.843411484
evermanni,4.165605231,2.701025586,2.676903472,2.219203484,2.613373154,2.571339156,2.33198207,2.015569465,3.763014327,3.313103675,4.164297079,4.766384737
fowleri,4.288779949,2.923967707,2.740678721,2.294552921,2.704544062,2.673286209,2.450142657,2.115652924,3.382776776,2.970085626,4.260761263,5.277476497
garmani,4.769473237,3.337496605,3.231594597,2.736961545,3.107656912,3.145383048,2.873161007,2.525042695,3.81910069,3.309579585,4.754354967,5.515159024
grahami,4.154274265,2.740840024,2.676903472,2.153587778,2.491787683,2.524470711,2.308567165,1.922578854,3.63635155,3.280170121,4.12768307,4.785693976
guafe,3.87745744,2.503789737,2.482821143,1.975295566,2.230954818,2.294804906,2.116406106,1.658942107,3.375830607,2.889135281,3.761871318,4.240552973
guamuhaya,5.036952602,3.458522448,3.218875825,2.735016649,3.238286218,3.271088696,2.973486665,2.841998174,3.901513322,3.596467111,5.036952602,5.153291594
guazuma,3.76388385,1.901941675,1.796194066,1.300796989,1.59240478,1.725936173,1.52629782,1.094901709,3.337706536,2.93307075,3.72130466,3.683509696
gundlachi,4.18810472,2.878761408,2.847876554,2.379134527,2.702255667,2.584165253,2.424901049,2.070372767,3.319784104,2.799246167,4.222229019,4.91358095
haetianus,4.316542212,3.002707887,2.944486825,2.503148345,2.823972922,2.721295428,2.55616967,2.193784323,3.495944675,2.931897726,4.316542126,5.039595413
hendersoni,3.859834574,2.446973996,2.439589614,2.01412494,2.264190705,2.015458422,1.809244598,1.508143194,3.525830615,2.901185202,3.857365029,4.858307383
homolechis,4.032805981,2.639128756,2.568404919,2.113963734,2.443650533,2.424802726,2.206404535,1.881752508,3.455422957,2.93592254,4.012381684,4.509949856
imias,4.099687407,2.797890905,2.767486442,2.244501882,2.489538762,2.528809608,2.39646568,1.926331986,3.330606654,2.943745497,4.097986941,4.650770533
inexpectatus,3.537438641,2.128529281,2.129570096,1.604927757,1.812582817,1.625065168,1.367047829,1.031403539,3.284803856,2.744316884,3.553496451,4.61630673
insolitus,3.80047052,2.186176113,2.012529836,1.488399584,1.856645152,1.929587175,1.627277831,1.337337516,3.233947777,2.750874849,3.796355029,3.927310133
isolepis,3.657087744,2.003055335,1.84897961,1.291067511,1.598039867,1.838165842,1.632828865,1.148988496,3.319774458,3.009585007,3.633888597,3.820350563
jubar,3.952604971,2.549380065,2.503755663,2.040354153,2.309477949,2.354703047,2.1615974,1.725738368,3.379472362,2.910825623,3.947625469,4.408541843
krugi,3.886500048,2.545217497,2.456335693,2.015702701,2.332338051,2.183576306,1.967951166,1.627670681,3.500256436,2.925954251,3.861275621,4.873360226
lineatopus,4.128611788,2.795043059,2.755251803,2.256366619,2.585505848,2.508921526,2.343087036,1.984901898,3.366713952,2.861792551,4.080958685,4.787232668
longitibialis,4.242103429,3.00141609,2.962589055,2.427807058,2.617979604,2.694289286,2.6121265,2.0589837,3.326956113,2.850458429,4.212596127,4.94418309
loysiana,3.701240244,2.141144014,1.975122151,1.501852702,1.894240844,2.000804096,1.798128036,1.418277407,3.287188385,2.900012178,3.69936753,4.070976362
lucius,4.198914766,2.92777458,2.821616953,2.341036279,2.616957781,2.613739522,2.512359677,2.140066163,3.767441894,3.31942774,4.114281536,4.81629819
luteogularis,5.101085197,3.588064149,3.490519975,3.017493765,3.346670796,3.431985202,3.173878459,2.832095072,4.173330987,3.699966491,5.088572997,5.721881861
macilentus,3.715764783,2.364620484,2.291524146,1.764730797,1.909542505,1.809926773,1.637053079,1.252762968,3.326893315,2.706936614,3.612348924,4.578309516
marcanoi,4.079484699,2.736572868,2.666046954,2.203427521,2.518985963,2.445385892,2.287471455,1.901062204,3.507571766,2.938265847,4.084668357,4.819901623
marron,3.831810283,2.464703942,2.401343865,1.826482905,2.143120318,2.250449339,2.152227211,1.662409797,3.338199754,2.921084281,3.836438228,4.294477779
mestrei,3.987147344,2.671386217,2.600734914,2.098464007,2.371347635,2.379966921,2.203266892,1.785527973,3.407310655,2.89939394,3.997360846,4.522961328
monticola,3.770613039,2.589850412,2.499795262,2.063058062,2.325976046,2.063199236,1.92942582,1.642872689,3.373122622,2.85607671,3.727240147,4.676742372
noblei,5.083472618,3.656097965,3.479392229,2.997397553,3.314549575,3.424696871,3.154443965,2.832428723,4.206853694,3.745706684,5.085687499,5.815034148
occultus,3.663048694,1.896869954,1.608437412,1.091084022,1.457451555,1.723212927,1.365453695,0.972671065,3.225435854,2.757224588,3.659787491,3.645928375
olssoni,3.79389884,2.368105275,2.329366116,1.934518985,2.275140483,1.981690886,1.715084102,1.406096988,3.444804809,2.680453053,3.773244688,4.917505883
opalinus,3.838376465,2.378434405,2.326496913,1.880990603,2.25800605,2.210469804,1.979344925,1.673726402,3.544382894,3.036012386,3.830887647,4.40854112
ophiolepis,3.637962029,2.067947162,2.032275059,1.642872689,1.986895396,1.907847948,1.579861967,1.279345283,3.176312573,2.612739118,3.533528664,4.396041771
oporinus,3.845669505,2.186051277,2.006870849,1.437462648,1.74745921,2.060513532,1.795087259,1.366091654,3.481240089,3.044522438,3.845669505,4.143134726
paternus,3.802961204,2.146954151,2.076311649,1.622354138,1.957979873,1.977893195,1.718292317,1.398716881,3.496323822,2.995231648,3.792874718,4.377357059
placidus,3.773967107,1.910652999,1.761729723,1.264126727,1.549687908,1.85824921,1.586169285,1.129787906,3.249065448,2.79536255,3.797736918,3.87045391
poncensis,3.820377531,2.266809866,2.285584251,1.859863057,2.183640669,2.032087845,1.82477968,1.468532459,3.352272865,2.633910452,3.806565188,4.772390391
porcatus,4.258990989,2.666037021,2.552342755,2.063058062,2.429091871,2.436616361,2.200552367,1.860974538,3.779385065,3.351538029,4.252482188,4.943498039
porcus,5.038034268,3.398304312,3.154870495,2.708161306,3.117876157,3.273490265,3.049904752,2.729594231,3.810378929,3.505716598,5.032355116,5.196951224
pulchellus,3.799022266,2.328374665,2.257326187,1.835576973,2.187454786,2.038456773,1.788420568,1.522244701,3.379012063,2.854765229,3.808373509,4.774494023
pumilis,3.46686027,1.832581464,1.768831965,1.315871897,1.588009965,1.780361424,1.506297154,1.088561953,3.210711426,2.814424585,3.432305934,4.099019953
quadriocellifer,3.901619072,2.499487333,2.459268278,1.981346237,2.25627934,2.301584593,2.089082419,1.690326416,3.322191212,2.843951785,3.895740458,4.409190329
reconditus,4.482606994,3.203457572,3.077427461,2.649891287,3.087171334,2.867898902,2.686145366,2.498768463,3.559088754,3.050757995,4.472774144,5.225738321
ricordii,5.013963084,3.534853766,3.410432385,2.960277793,3.359101428,3.297009018,3.119497381,2.839760492,3.914874405,3.41388274,5.002876673,5.644784777
rubribarbus,4.078469213,2.749192144,2.72392355,2.243471829,2.504055469,2.46920062,2.310057108,1.916628451,3.351775983,2.867508392,4.059538616,4.542670075
sagrei,4.067161768,2.631744945,2.569936899,2.140771797,2.476118144,2.367623489,2.157906082,1.836892159,3.508974236,2.91871739,4.007056191,4.717579991
semilineatus,3.696630586,2.2994552,2.289499853,1.875640953,2.201935685,1.849241905,1.617654067,1.323753843,3.387636761,2.706268461,3.686351604,4.800831488
sheplani,3.682924257,1.778758657,1.62087229,1.100277568,1.239822457,1.675693708,1.357122984,0.884800065,3.152139632,2.719176165,3.682645398,3.749157859
shrevei,3.983003234,2.588290213,2.519549593,2.130491056,2.422410486,2.336406641,2.135703721,1.776984184,3.337627622,2.769889381,3.955989073,4.630166428
singularis,4.057997494,2.48740353,2.3896798,1.914468623,2.332143895,2.31583032,2.087120318,1.755556421,3.636608125,3.149753918,4.091796951,4.628284707
smallwoodi,5.035095592,3.589295871,3.467341756,3.003842157,3.302691625,3.342861805,3.125004609,2.741300747,4.218324233,3.731340535,5.036650354,5.742585375
strahmi,4.274271278,3.078489243,3.005902602,2.468664344,2.654571284,2.762468238,2.671693531,2.074289403,3.448130485,2.9906901,4.258750159,4.933514213
stratulus,3.869880695,2.329875953,2.32971376,1.850814232,2.185301932,2.22318107,2.020001114,1.677096561,3.519860022,3.099932806,3.859892737,4.355771723
valencienni,4.321524401,2.69934576,2.540420193,2.050913458,2.378465303,2.554251311,2.307074998,1.869234781,3.608915593,3.20444513,4.344338529,4.633010413
vanidicus,3.62620586,2.175319742,2.09679018,1.548625773,1.77579945,1.69790656,1.44042737,1.067293605,3.134737357,2.578584005,3.591365291,4.506490187
vermiculatus,4.802849398,3.41006273,3.317919287,2.862935305,3.229900543,3.025013645,2.805436147,2.606386547,3.832654767,3.301242224,4.805347849,5.555142587
websteri,3.916546094,2.463285704,2.419182241,1.87077601,2.204604685,2.309560707,2.170195905,1.7275172,3.365861436,2.973535365,3.865583474,4.266035073
whitemani,4.097478535,2.77133794,2.723486009,2.265402302,2.51244075,2.494581915,2.32874005,1.881752508,3.351998328,2.782257217,4.005390199,4.747225745
